Dataset,Task,Metric,Activation,Avg_Score,Max_Score,Min_Score,Epochs_As_Best,Overall_Winner,Leader_Changes
cot,Regression,R2,Sw,0.8668224358558655,0.9601824879646301,-0.0014576911926269531,0,LR,124
cot,Regression,R2,LgS,0.914046313405037,0.994422197341919,-0.022933244705200195,1,LR,124
cot,Regression,R2,Si,0.7850981501340866,0.9787479043006897,-0.016327857971191406,0,LR,124
cot,Regression,R2,Mish,0.9404675558805465,0.9974836111068726,-0.01960611343383789,135,LR,124
cot,Regression,R2,U,-40.58812110948563,0.44286972284317017,-20312.904296875,0,LR,124
sec,Regression,R2,E,0.9181670401096343,0.9913010001182556,-1.5740981101989746,278,E,71
sec,Regression,R2,XER,0.8997240751981735,0.9905489683151245,-6.611010551452637,38,E,71
sec,Regression,R2,R,0.8659105563163757,0.9911942481994629,-1.62945556640625,14,E,71
sec,Regression,R2,LR,0.8747710732221603,0.99112468957901,-2.9372763633728027,17,E,71
sec,Regression,R2,PR,0.9012769576311112,0.9910586476325989,-1.0931777954101562,2,E,71
sec,Regression,R2,RR,0.8051381590366363,0.9795436263084412,-2.5165069103240967,0,E,71
sec,Regression,R2,G,0.8519783025979996,0.9910646677017212,-2.14911150932312,0,E,71
sec,Regression,R2,S,0.832933847784996,0.990832507610321,-3.197843551635742,0,E,71
sec,Regression,R2,C,0.849676027417183,0.9912846684455872,-1.7673120498657227,141,E,71
sec,Regression,R2,ELU,0.7594809691905975,0.9909459352493286,-4.508652687072754,0,E,71
sec,Regression,R2,SELU,0.8469058068990707,0.9900681972503662,-3.0837178230285645,0,E,71
sec,Regression,R2,T,-0.016965009689331054,-1.609325408935547e-05,-1.435664176940918,0,E,71
sec,Regression,R2,HT,-0.06134980964660645,1.1920928955078125e-07,-4.605856895446777,0,E,71
sec,Regression,R2,ST,0.30424910390377047,0.9853383898735046,-1.6188082695007324,0,E,71
sec,Regression,R2,SS,-0.16004729723930358,1.1920928955078125e-07,-1.564044713973999,0,E,71
sec,Regression,R2,HS,-0.2582920970916748,-1.1920928955078125e-07,-2.142357110977173,0,E,71
sec,Regression,R2,ReLU6,-0.6682858452796936,-0.0002930164337158203,-4.624603271484375,0,E,71
sec,Regression,R2,Sw,0.8336785115003585,0.9907369613647461,-1.2311358451843262,4,E,71
sec,Regression,R2,LgS,0.656591530919075,0.9866650104522705,-5.521701812744141,0,E,71
sec,Regression,R2,Si,-0.034481507897377014,3.796815872192383e-05,-1.6058893203735352,0,E,71
sec,Regression,R2,Mish,0.8370524741411209,0.9911075234413147,-2.2158329486846924,6,E,71
sec,Regression,R2,U,0.09262220108509064,0.8246071338653564,-33.28862762451172,0,E,71
csc,Regression,R2,E,0.8364219441413879,0.9931730628013611,-2.1943464279174805,0,G,68
csc,Regression,R2,XER,0.8941382598876954,0.9834680557250977,-2.7060954570770264,96,G,68
csc,Regression,R2,R,0.7189521644115447,0.9932042360305786,-2.4411425590515137,0,G,68
csc,Regression,R2,LR,0.8538294531106949,0.9951697587966919,-1.3388619422912598,85,G,68
csc,Regression,R2,PR,0.82848581635952,0.9943989515304565,-1.56783127784729,4,G,68
csc,Regression,R2,RR,0.6872674915790558,0.9563124179840088,-2.2082817554473877,0,G,68
csc,Regression,R2,G,0.8379159088134766,0.9951990842819214,-2.0832231044769287,207,G,68
csc,Regression,R2,S,0.8105942568778992,0.9950348138809204,-1.5253119468688965,95,G,68
csc,Regression,R2,C,0.779500812292099,0.9934068918228149,-2.302685499191284,0,G,68
csc,Regression,R2,ELU,0.8462298240661621,0.9938593506813049,-1.0336287021636963,5,G,68
csc,Regression,R2,SELU,0.7004967820644379,0.9756465554237366,-2.6422386169433594,0,G,68
csc,Regression,R2,T,-0.044478478908538815,-1.5497207641601562e-05,-2.9002227783203125,0,G,68
csc,Regression,R2,HT,-0.04058798694610596,1.1920928955078125e-07,-2.2045555114746094,0,G,68
csc,Regression,R2,ST,0.5226732326745986,0.97925865650177,-1.157426357269287,0,G,68
csc,Regression,R2,SS,-0.25480241894721983,-2.574920654296875e-05,-1.6790721416473389,0,G,68
csc,Regression,R2,HS,0.6004401180744171,0.9415156841278076,-1.949018955230713,0,G,68
csc,Regression,R2,ReLU6,0.8151960946321487,0.994594931602478,-1.42958402633667,2,G,68
csc,Regression,R2,Sw,0.7844274160861969,0.9920706748962402,-1.4948270320892334,2,G,68
csc,Regression,R2,LgS,0.7850526568889618,0.9939098954200745,-1.6896069049835205,0,G,68
csc,Regression,R2,Si,-0.08735576105117798,0.0008516311645507812,-2.1534981727600098,0,G,68
csc,Regression,R2,Mish,0.8364350769519806,0.9948965907096863,-1.6611931324005127,4,G,68
csc,Regression,R2,U,-13190.535448978662,-0.06695044040679932,-6594975.5,0,G,68
cube_root,Regression,R2,E,0.9895415282249451,0.9964209198951721,0.47655725479125977,2,HT,69
cube_root,Regression,R2,XER,0.9883486260175705,0.9963765740394592,0.06260895729064941,30,HT,69
cube_root,Regression,R2,R,0.9622565615177154,0.9964696764945984,-0.015100479125976562,115,HT,69
cube_root,Regression,R2,LR,0.9655171887874603,0.9964523911476135,-0.004622220993041992,23,HT,69
cube_root,Regression,R2,PR,0.9764183819293976,0.9960523843765259,0.028575778007507324,0,HT,69
cube_root,Regression,R2,RR,0.9753592050075531,0.9954469203948975,0.0423542857170105,0,HT,69
cube_root,Regression,R2,G,0.9042427760362625,0.9959579706192017,-0.057794928550720215,0,HT,69
cube_root,Regression,R2,S,0.9792586395740509,0.9960756897926331,-0.0421748161315918,0,HT,69
cube_root,Regression,R2,C,0.9863916441202164,0.9960800409317017,-0.07457911968231201,1,HT,69
cube_root,Regression,R2,ELU,0.9897521567344666,0.9960348606109619,0.1281825304031372,7,HT,69
cube_root,Regression,R2,SELU,0.9932187497615814,0.9963112473487854,0.3357219099998474,32,HT,69
cube_root,Regression,R2,T,0.9780404170751572,0.9963197112083435,0.07090872526168823,0,HT,69
cube_root,Regression,R2,HT,0.9871864514350891,0.9964816570281982,-0.026452183723449707,279,HT,69
cube_root,Regression,R2,ST,0.9571087327003479,0.9962623119354248,-0.17097735404968262,0,HT,69
cube_root,Regression,R2,SS,0.9580212366580964,0.995721161365509,-0.009483695030212402,0,HT,69
cube_root,Regression,R2,HS,0.945512922167778,0.9653510451316833,-0.3449394702911377,0,HT,69
